Grupo de documentos,Nome do documento,Ano,Conceito,Segmento,Cobertura %,Página,classification
RIHGB,rihgb1920t0087 ,1920, colonia,"Cédula cm que se dá a la Villa de San Fran-cisco dei Quilo el titiilo.de — Ciudad >, e ainda hoje se en-contra cuidadosameute arcliivado na Municipalidade de Quito. 
Mixto de civilização e de sangue foi essa epoch», em que   as victorias não decidiram da paz. de que tanto necessitavam   as colonias liispanliolas para o sou desenvolvimento. 
Mais felizes do que Atahualpa não vieram a ser os tres   ermãos Pizarro. ' 
0 primeiro delles. já velho, teve que entrar em lucla corn   a ambição dos seus auxiliares.",0.0466692,100,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"que teve logar em t l de   Outubro de 1810, consolidada pela campanha, que emprehen-deu e que só terminou em <812. 
Mais feliz do que a anterior foi a juncfa que se organizou   no anno de 1810. 
Quito era então um dos centros de maior cultura do   espirito da vida colonial americana. 
Carlos Montúfar, filho do marquez de Selva Alegre, che-gava a Popayan, vindo da Hispanha como enviado rcgio para   sustentar a Juncta de Sevilba e as prerogatives de Fernando   VII contra Napoleão I e também para pacificar lodo esse povo. 
Quitenho pelo nascimento, não tardou a favorecer as   aspirações dos ",0.0542322,105,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"do Velasco, do Mexico, e   Manoel do Sarralea, de Buenos Aires, os quaes, no correr de   um almoço prepararam-lhe o espirito para a emancipação   americana e, appellamlo para sua bravura, reclamarani-llie a   espada para o serviço dessa causa. 
< Amigos, exclamou Sarratca, nossos ormãos estão se es-forçando para sacudir n jugo colonial: corre jã o sangue ame-ricano. A vida ociosa que levamos na patria dos senhores   das nossas terras vergonhosa. Sois capazes de vos consagrar   á causa americana ? » 
Abraçaram-se todos e selleram com um juramento solemn*   essas palavrqs esperançosas, que já eram um emhryão do   movimento emancipador. ‘ 
Simon Bolivar e Vicente Rpcafuerle,",0.0619796,109,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"daquolla cidade, onde recebeu   na pia baptismal o mesmo nome de seu pae. 
Sem ser sobrinho do duque de Gandia como João Borja,   o inimigo que idle tanto perseguiu, veio de uma familia abas-lada e de sangue nobre, al&n de honrada <»m a confiança e a   consideração do govêrno colonial. 
Garcia Gomez chegou a Guayaquil em fins de 1793, depois   do ler vegelado no funceionalismo lilspanhol. Foi n imaginação   do ouro que certamente o trouxe a essa região da America, das   mais afamadas pela riqueza do sou sólo. Tentou a fortuna e   prosperou nos primeiros tempos, mgs passou rapidamente da ",0.0540477,129,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"clero e do funccionalismo   público, quo, acconselhado pelos bispos, negou-se ao jura-mento individual dessa carta, formalidade que lhes fôra im-posta por um decreto do poder executivo. 
Profundo golpe veio dar esso artigo no espirito da al-gumas províncias dominadas pela intolerância religiosa, que   os Bispanhoes implantaram para melhor garantia do governo   colonial. 
Em Quilo, em Cnenra. em muitos ponctos da Republic's,   reinava o fanatismo medieval, que exolnin a independência   do pensamento e do scnlimenlo religioso. 
Foram essas as primeiras províncias, que encetaram a   campnnhn conlra a Constituição. 
O rcdempforisla padre Berthe nos pinln n almn desse povo   sinceramente chrislão o intransigente ",0.0653922,141,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"periodo, o mais calmo depois da   Independência, dedicou-so seriamente á administração pú-blica, o foi essa a phase mais notável, por que passou o   Equador até os nossos dias. 
São conhecidos, e até elogiados pelos seus proprios ini-migos, os trabalhos que emprebendeu e que transformaram   muitas das cidades equatorianas, do aspecto colonial, em   cidades confortáveis e modernas. Realizou verdadeiros pro-dígios, dado <> estado de pauperlsmo em que se eneontrava o   thesouro. e sem recorrer a impostos, anles supprimindo-os.,  Concebeu o plano de sccularizar os conventos e de appll-ear as rendas destes na construção de estradas que favore-cessem as communicações entro a Capital, as ",0.0630864,206,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"em 27 de Janeiro de 1883, disse o dr. Annibal Faldlo: “Ter-minada a luota lioilandeza. o Brasil tinha reunido os elementos   do uma verdadeira pntrla. de snrlo que poderiamos conceber   a sun omanclpncfio política desde logo, si, por um lado, nflo   devesse ser simultâneo o impulso do dcsacgregnçllo do systems   colonial americano, o si, por nutro Indo, n immcnsa extensla   do pair nfio houvesse dlépnsto deseguatmento as condignos   locaes, sendo preciso nnifnrmirn-las préviamente para quo ti-vesse um verdadeiro character nacional a nova patria que ae   formava"" (Jtev. dn Innt. Arch. Pern., vol. XII. pag. 444)",0.0562613,232,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"do nosso passado militar, dentre os que ulti-mamenie o têm evocado com maior felioidade está o sr„ Gus-tavo Barroso, cuja contribuição aiwcdotica é das inais interes-santes.  Nada mais utll do que essa reconstrucção dos à côté da   nossa. Historia, toda ella por fazer, pur fixar, como aliás tanta   nossas éras coloniaes ? Nada, ou, quando muito, quasi nada. 
E realmente que resta da parto anecdotica dos annaes das   nossa» éras coloniaes? Nada, ou, quando muito, quasi nada. 
Faltam-nos por completo as Memórias, as rcminisnrencias,   até as que podiam reportar-sê a epochas recentissimas. Não   se coaduna tal genero ao feitio do nossa gente,",0.0592127,246,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"NO RRABIL IMPERIAL 2S5 
Brasil independente, si attendermos ás proporções entre a po-pulação colonial e a da nação livre. Assim, opochas houve   em que o militarismo luso chegou ao poncto de se tornar ver-dadeiro flugello para a grande colonia sul-americana. Sobre-tudo para as regiões fronteiriças oomo a Capitania de São   Paulo, nucleo de resistência aos Castelhanos, numa epoclia   em quo o Rio Grande do ",0.0373538,267,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"Wallenstein, das companhias de aventureiros empregadas   pelos Hnllandezcs das suas expedições ultramarinas, eram os   paires leutonicos considerados como inexgot taveis forneoe-dores de mercenários. Ainda em fins do século XVTIT não   haviam os pequenos príncipes do Rheno acudido no govêrno   brltsanioo com milhares de soldados destinados á repressão   da revoltn das colonias da Nova Inglaterra, do onde haveria   do surgir a Confederação Norte-Americana 2 
Desses agentes de d. i’odro I o mais conhecido <9 o   dr. Jorge Schãffer, o “excellento Schãffer"". como lhe chamava   a Imperatriz d. Leopoldina, o amigo, o confidente do coração   mnguado pelas infidelidades do marido e a ",0.0622563,269,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"momento que todos   tem de ser julgados pela posteridade,  D . Pedro I foi grande elemento de exito para a obra da   Independência. O seu concurso foi procurado e considerado   decisivo por todos quantos a promoviam, ao men«s para faci-litar uma operação que, sem elle teria, talvez, corno nas an-tigas colonias hispanholas, custado perturbações políticas   prolongadas, sináo grandes sacrifícios de sangue. Os liberaes,   que precipitaram o termo do primeiro Teinadv, consideraram,   não obstante, a monarchia um elemento de cobesão nacional,   que era preoíso manter, exactameiite quando mais facil era   substitui-lo, O novo soberano de emeo annos de edade, pas-sou, por isto,",0.0618874,400,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"actual nuncio cm Varsovia. monsenhor Haiti, se poz   gentilmenlo li minha disposiçilo, ajudando-me nas pesquisas   do documentos referentes no Brasil. 
Encontrei nessa Bibliotheca esoriptos relativos As mis-sões jesuiticas, mas já publicados. Entro outros documentos   que examinei, na Bibliotheca do Vaticano, chamou-me a at-tençáo um, muito interessante, relativo á cessão da Colonia   do Sacramento aos Judeus de Portugal, documento que mandei   por cópia ao Institcco, o cuja reprodueçáo se acha em poder’   do digno 1' secretario perpetuo. Soí que esse esoripto, quo ví   redigido em italiano, so acha cm língua tranceza nos \rchfvos   da Proiiatianilu Fiite. 
Devo, ao referir-me â Bibliotheca do ",0.0640087,414,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"v 
 riu. nem sc tributou o devido preito de veneração « reconheci-mento ãquello verdadeiro prolo-marlyr da Indopendencia bra-sileira ... 
Philippe dos Santos foi o precursor do Tlradenles dos   revolucionários pernambucanos de 1817. Como estes, saeri-ficOu-se por unia nobre idóa. expirando heroicàment........ bnr-huro supplicio. 
O movimento de 1720 gerou a supprosfeá"" do regime colo-nial em 1808. a elevação do Brasil a reino em 1815. u a sepa-ração definitiva em 1822.  Tractando de Philippe dos Santus. o dr. João de Mello o   Sonsa, secretario geral da Sociedade de lieographi» ■ um los   secretários da actual Conferência de l.imites Interestadn.v-s   publicou, n I Voile rfp ",0.0626253,450,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"casas de fundição""   ereada- trela lei régia de II de Fevereiro de 1J1‘J. Nó fundo,   porém, foi uni movimento de character accentuadamente nali-vista. Era o resultado da lueta em que se debatiam os povos   mineiros contra a insaciável ganunria do físen real: corullatio   do estado de espirito reinante na colonia, em upposição á polí-tica oppressora da metropole. A rebelliãu de Heckman, a   guerra dos erijboabas o a dos mascates, os motins da Bahia, «   até o incidente da ephemera acclamação de .Amador Bueno em   S. Paulo, são outros tantos episodios que, embora não hajam   tido grande importância política ou significação nacional,",0.0581981,452,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"tocante ú petunia. Southey, cm sua excellent^ obra; Diogo do   .Vagconceilos, na Historia Antiga do Minas Geraes; Xavier   du VHga, nus Ephemerides mineiras; Kucha Pombo c outros   consagraram magníficas páginas u esse interessante episodic»   lio nosso periodo colonial. O mais antigo tilirunisla que tractuii   do assumpto foi o jesuilu Manuel da Fonseca..  I’aroei'-me indiscutível u rclevuncia do movimento sedi-cioso do 1720.  Causjis Idênticas já haviam. cinco anno.-» antes, provocado   u levante, do Morro Vermelho, que repercutiu no Sabarti o no   Gaeté, A indignação dos auimos por ",0.0538633,453,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"consunimou quando se viu do novo   «cultor da situação, u incêndio du Villa do Carmo e, finalmente,   a morto heróica do valoroso Philippe dos bantos Freire, tudo   isso conatitue um episodio bistorico sem dúvida mteressan-Jissimo, e quo faria vibrar n imaginação das crianças, quando   so lhes ensmassa a nossa Histeria colonial. 
O Brasil, em 1720, nau estava ainda preparado para a In-dependência. Adniittamo-lo. Mas isso não diminuo o valor do   verdadeiro proto-martyr do nossa Independência, o denodado   rhilippq dos Santos, que, tendo confessado eom altives ps seus",0.0522953,453,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"como elemento com-plementar, para a elucidação do assumpto-Outros ha, porém, que se consagram, espcciatmente. 4   historia dos Institutos, ainda que em resumo, como convinha   ri indole do livro. Assim é que a décima terceira licção lom   por objeelo a — ""Synthese histórica da sciencla da adminis-tração no Brasil, desde os tempos coloniacs até o advento da   Republica""; a décima sexta discorre sôbre a origem histórica   do Estado; e outras podiam ser oitadaB. 
O nosso parecer é, portanto, que, sondo o Direito admi-toinMratfvos do sr. dr. Oliveira Santos um bem elaborado   livro didactico, merecedor da estima dos juristas, offerece,   .também, elementos de apreço ",0.0611496,462,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"uvulver nos dias do pih-sailo. E li'in se púde avaliar o nosso profundo amor ao solo   cm que uaseemos pela emoção meffuvel que experimenlumos   ao folhear as página? de nossa Historia, — projccçã"" luim-nosa da Palria através dos oectilus. 
Dentre os múltiplos success»» de nossa primoira phase,   ipiniido ainda crtuno- colonia, não sei de muitos outros que   mais dignos sejam de nosso carinhoso estudo que essa re-belltão de Villa lliea. tie que hoje aqui -oletinizaiuos o bi-centenário. As causas, vi . protagonistas, o desenrolur das  
• cenas, o epílogo da tragédia, é tudo cheio rle intensa vida e   de gcito a fazer vibrar ",0.0575525,465,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"e ""fachos ncoiSms percorriam as   travessas do monte a monte, entre os arraiaes da Serra"". Tra-mn-so tima. conspiração dirigida contra a vida do condo, o   nclla figura, como principal instrumento dos conjurados, um   vulto respeitável, cheio do serviços apreciáveis, bcmquislo no   Rio o até na Côrle, pela defesa liuroiea da Colonia do Sacra-mento. em que com 500 resistira a 7.000 homens. Mas já   agora a odado n atqnehraya, posto que a ambição do mando   ainda não lhe tivesse deixado em paz o espirito irrequieto..   Sebastião da Veiga Cabral aspira ser o governador das Minas,   e esta idéa o deita a ",0.0552467,473,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"APTAS 493 
.sempre nv pareceu se ostantavii no eonspccta du vossa   nilliira: a tandcnrm corporativa. 
0 vosso pensamento nasceu sob arroubos iiwpira»lor»w   Uh Pan'iictirn <• iirfirintui-M- sob o mflu.xo tio aondemi cismo  
•Io seenlo XVHj, protelação colonial >lo que mi Melropole prin-çlpalmonto avultava no século anterior. Quer as almas vi-brem em uiibuno sub o estimulo c!n voz. qiin «Io púlpito sa   ergue, quer as intelhgenrias .wrenainente Irahntliem em as-   .•••iiibpuis, »'• s-mpt-.* mn vitado cnll'T’ivo da cniwicncla. u re-sultante synthuse moral quo comporta virtualidades que ",0.0540477,495,Sem violência
RIHGB,rihgb1920t0087 ,1920, colonia,"das academias, con-stituindo-su um poiitro d** cultivo das Humanidades e do todas   us srienetas da natureza, procurando exercer acção social e só   engeitandn. por uxtranha a **>m âmbito, a pura elaboração ar-tística, do Min intimo e dos anhelos dn inspiração de cada   um. 
IncorporaniJo-se nesse movimento, a mentalidade do Brasil   colonial, onde as condições locara eram lão especificamenle vá-rias das da Metropole. s""ii|.e imprimir-lhe cuulift seu. Apraz-mo apónctar mis vossas academias do século XVIII. <tn sua vida   modesta e de.sajudiida. uniu maior amplitude e mnis declarada   intenção pragmática; nem exelusivamentc litterarias, como as   do século XVII em Portugal,",0.0621641,496,Sem violência
RIHGB,rihgb1920t0088 ,1920, colonia,"em certas opoohas do anno cliega a tingir o soalho da   egreja. 
Ifa o altar do S. Braz, propriedade da Irmandado dessa   invocação, constituída a principio pelos pardo» de capote. 
Ds quadros quo ornam a ogreja do S. Bento são devidos   ao pineet de frei ilicardo do Pilar, nascido em Colonia, e que   aqui professou cm 21 de Maio de 1C93. Sfio dies muito elo-giados pelo eminente artista Manuel do Araujo Porto-Alegio. 
São lambem dignas do attenção demorada duas grandes   lampadas de prata suspensas ao lento da capella-mòr. Custa-ram em fins do século XVIH, a quariliu du 7:7593517. Foram   feitas ",0.055002,87,Sem violência
RIHGB,rihgb1920t0088 ,1920, colonia,"ANUinUÀMMB S M W ORlAtl 0 0 RIO DE JANEIRO M 
vimentos, o um terreo denominado ar catacumbas. No inte-rior, notam-se largas escadarias do pedra, longos corredores   cujos lectos são de madeira lavrada, compartimentos aboba-dados, indicando tudo o antigo gôsto colonial. 
A esta antiga rasa religiosa ligam-se. porém, tantas re-cordações da nossa Historia, tanto.» foram os varões illns-tres e.m virtudes, sclencias e letras, que alli viveram, tantos   os objcctos que despertam a nossa curiosidade, que lem-bra-los, em simples notas, tem cabimento agora que o Mos-teiro do S. Bento é assumpto ",0.0544483,95,Sem violência
RIHGB,rihgb1920t0088 ,1920, colonia,"ANTOQUAUtAB B MSMMttAS 00 «10 DE JANEIRO 101  
tSifo questões não só nos tempos coloniaos como modernamenlo  
com o Governo. 
A proposito, em carta de 26 do Maio de 1772 inform ava   o iriarqucz d» Lavradio, pouoo favorável aos frades, que no   tempo do conde da Cunha, os Benedictinos haviam aforado   a certo Luiz Manuel um armazém. O conde, desejando o   terreno p ara augmento ",0.0345147,105,Sem violência
RIHGB,rihgb1920t0088 ,1920, colonia,"Espirito Sancto e Engenho Velho. 
Em livro manuscriplo pertencente a monsenhor Pizarro,   o hoje propriedade do Instituto Historico, encontra-se a longa   lista do foreiros do Cabido, cujos terrenos chegavam até á   actual rua de S. Cliristovam. Entre elles figuram ob herdoi-ros do célebre João llopman, cujos serviços á nossB agricul-tura colonial foram tão bem apreciados pelos vloe-rols mar-que» de Lavradio e Luiz do Vasconcellos. 
Quando, por duns vezes, a Camara entrou pelas terras do   Collegio, os Jesuitas embargaram-lhe a medição e tiveram   ganho do causa. Sôbre essa immensa sesmaria, obtida em   1565 por Intermédio do jesuita Gonçalo de Oliveira, nunca a ",0.0612774,148,Sem violência
RIHGB,rihgb1920t0088 ,1920, colonia,"Foi com cilas que naturalmente o saudoso dr. Ferreira   Vianna organizou os limites das frcgtiOEtns suburbanas, con-stantes de seu minucioso Rclatorio do 1873. 
Essa falta, porém, não deve servir ás prelcnções do Es-tado vizinho, porquanto, ainda lioje, muitas das suas antigas   freguezlas tíhn por divisas os limites assignaludos nos tempos   coloniaes pelos ordinários ou bispos. 
Que os antigos donos da fazenda do Nazareth influiram   na governação do Município ha provas manifestas; em 1788   c 1812 Bento Luiz de Oliveira Draga serviu como vereador no   Penado da Camara. 
Depoia da reforma de f de Ouluhro do 1828 occupou o logar   de presidente ",0.0596163,233,Sem violência
RIHGB,rihgb1920t0088 ,1920, colonia,"ora denominado Monte do Desterro, porque   no ponto em que estil hoje o convento existiu a erniida dedi-cada á Nossa Senhora do Desterro. 
Até ahi. dirá o leitor: morreu o Neves; mas ha muita   gente quo pensa haver funceionado alli alguma cafúa, alguma   casa de degredo ou cadeia ou mesmo colonia correecionaU 
Esta explicação já a ouvi em um bonde entre dous su-jeitos, que discutiam a origem do nome Lapa do Desterro.  Tem a palavra o auctor do Sancluario Mariano, que mais   ou menos refere o seguinte: ""pelas portas da egreja de Nossa   Senhora da Ajuda se vai para o sancluario ",0.0534331,273,Sem violência
RIHGB,rihgb1920t0088 ,1920, colonia,"governador do Rio de Janeiro, Duarte Teixoira Cha-ves. publicou o seguinte bando que dá bom idea dos rigores   do tempo. Dizia elle: 
«Toda a pessoa, de qualquer qualidade e ■■ondiçáo que   seja, que se encontrar rnniatcarada, Incorrerá na pena do ir   servir á Sua Magestade, que Deus guaide. na Nova Colonia do   Sacramento, do Rio da Prata, e sendo negro ou mulato será   açoitado publicamenlo, e lodo o official de guerra que en-contrar os taes miíiatcaradot os prenderá logo, sob peno de um   mez de prisão para tima das fortaleza*. etr.» (Doe. do Archive   Publico.) 
Estes rigores, conununieados de pars a ",0.0558326,297,Sem violência
RIHGB,rihgb1920t0088 ,1920, colonia,"pela primeira vox, n festa das Chagas, sendo   elcilc ministro da nascenlo instituição o jâ citado Figuoiredo,   que occupou o cargo até 1027, sendo substituído por André   de ""Villa Lobos da Silveira. Na extensa lista dos chefes da Or-dem encontram-se nomes de indivíduos, que representavam   saliente papel na nossa vida colonial: sacerdotes, negociantes,   proprietários *■ capitalistas. medicos, advogados e altos rune-cionqrios públicos. 
Desejando os Terreiros fundar templo proprlo, obtiveram   ilos religiosos, mediante a esmola de cínroenía raít réis, os   terrenos necessários para tal fim. 
Segundo é fama, essas terras chegaram até á rua do   Parto, porquanto parte do etifio, em fórma de ",0.0638614,323,Sem violência
RIHGB,rihgb1920t0088 ,1920, colonia,"de honrosa dedicalyria, o primeiro'volume do impor-tante trabalho — Uneumentas para a Historia do liras it e tr-P<‘<:ialiiu-ntr do Crard (1008-1625;.  luiciimdu a publicação dessa preciosa collectanea, o in-   (atigavel cultor «Ia Historia palria, além do muito que tem   pruduzitlo, prestou valiosissimo serviço aos investigadores do   passado do Brasil colonial. 
Na curta introdueçán desse volume com ioda n proficiên-cia escreveu: 
• Ua muito» trecho» da Historia patria desconhecidos,   outros mal elucidados, outros avessos de toda a realidade;   os velhos documentos confrontados, bem intcrprolados, su-jeitus ás regras de uma sã e boa critica, dardejara» a luz   precisa para que se apure, na ",0.064046,360,Sem violência
RIHGB,rihgb1920t0088 ,1920, colonia,"as choros entoados por gentis mocinhas, nossas compa-nheiras de viagem, as quaes conservaram sempre a nota ale-gre da comitiva. Houve sermão ao Evangelho, prégado com   Ioda a eloquência por quem o sabe fazer, alliandn o brilho   de imagens á profunda erudição. 
Seguiu-se opiparo almoço servido na velha casa dos   tempos coloniaea, onde residiram os antigos donos da fa-zenda do engenho ila Pedra. Foi pena não estar lá o erudito   e distiroto d r. Araujo Vienna, para nos dar a descripçãn   leelinieu dessa antiga vivendo. 
Gratos á gentileza do amphytrião. o sr. Quito, c de «ua   illtuire família, os convidados deitaram discurseira.",0.0583243,369,Sem violência
RIHGB,rihgb1920t0088 ,1920, colonia,"n h ln nenhum extravio   e cSta m inha erdem fiirã registar nos livros da Fazenda e   tin- m ais parles a que tocar, etc.» 
Eis o caso: o Santo Antônio da Carioca possuia um rico   bastão, que lhe M ra offerecido por Sebastião da Veiga Ga-la ai, governador da Colonia do Sacram ento. Invadindo D u-clerc esla cidade tSeplem bro de 17101. o provincial dos F ra n -   cisoanos enviou a referida bengala ao governador Francisco   de Castro Moraes, que eslava ú frente dos tropas no Campo   do R nrarln, Moraes contentou-se com tocar a cabeça com o   caslfio e ",0.0506646,383,Sem violência
RIHGB,rihgb1920t0088 ,1920, colonia,"enchido as condiçães sobredictas,   se lhe não devia im pedir o findar a sua obra, etc."" 
Mio 6 possível transcrever aqui o m ais dessa provisão,   que aos suecessores de B ritto. no correr dps tempos, serviu do   titulo de propriedade plena, respeitado pelas nuctorldades o   tribuiiaes do tempo da Colonia c do Im pério. 
Passaram -se nnnos, r os novos donos do Irapiçhe estive-ram sem pre Iranqnillos nn posse delir e de suas dependencies,   protegidos pela confirmnçfln de 1733. De I7W a IHIH soffreu   o então proprietário Cletn Mareelllno F erreira perseguição*   dos agentes dn Fazenda Real abb pretexto de ",0.0559249,411,Sem violência
RIHGB,rihgb1920t0088 ,1920, colonia,"416 BHVIHTA 00 INSTlTCjrO B1ST0RICO 
A*» scsmarias serviram -rnipi»- do litub» de propriedade   legitima. em vario? liligto- havido* enlre. vonfrunlantes, •• l'o-riim sompro emisideradus u respeitada.* pelos tribunaes. não so   do* tempo* colonial- remo do Brasil independente. 
Já. hu ulguus sumos, algo disse sobre o historic^ desti.**   terrenos lidos e havidos cunw proprlus ou ailudiaes. Evitando   ropelir o que já foi narrado, aju notarei algumas particula-ridades. que levem sncAgo uo espirito dos proprietários dos   prédios naquella zona desapropriados por fdrça do traçado da ",0.0536177,420,Sem violência
